,Model_Year,Make,Model,Trim,Body_Style,Color_Interior,Color_Exterior,Engine,Displacement,Transmission,Transmission_Detail,VIN,Condition,Mileage,Days_on_Site,Private_or_Dealer,Price,Title_Clean_Filter,PriceHistory
150_735298411,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Onyx Black,Ultramarine Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW9SGN10215,NEW,42,25,,,False,
150_735666687,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW7SGN09807,NEW,10,22,,219500.0,False,
150_735666688,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFWXSGN09817,NEW,10,22,,225500.0,False,
150_735677921,2015,Aston Martin,V8 Vantage,GT,Coupe,,,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBAL4FGC18984,USED,"18,608",22,,59874.0,True,
150_735869747,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW0SGN09776,NEW,10,19,,237600.0,False,
150_735989023,2019,Aston Martin,V8 Vantage,Coupe,Coupe,,Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3KGN02196,USED,"34,443",16,,84992.0,True,
150_736049990,2008,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Tungsten Silver,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF03B38GC09910,USED,"29,176",16,,44900.0,True,
150_736332127,2022,Aston Martin,V8 Vantage,Coupe,Coupe,,Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW7NGN06711,USED,"20,320",12,,129782.0,True,
150_736498343,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW5SGN09482,USED,47,10,,,True,
150_736659486,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Phantom Gray,Intense Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW6LGN03330,USED,"15,593",8,,99990.0,True,
150_736737208,2015,Aston Martin,V8 Vantage,Roadster,Convertible,Chestnut Tan,Stratus White,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBBK2FGD18846,USED,"5,871",7,,89998.0,True,
150_736897624,2021,Aston Martin,V8 Vantage,Coupe,Coupe,Black Damson,Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW0MGN05589,USED,"20,449",5,,104995.0,True,
150_737119568,2021,Aston Martin,V8 Vantage,Roadster,Convertible,Obsidian Black,Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW3MGP05218,USED,"7,470",2,,134900.0,True,
150_737207761,2021,Aston Martin,V8 Vantage,Roadster,Convertible,Black,China Grey,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW7MGP05772,USED,"8,844",2,,112000.0,True,
175_705287599,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Pure Black,Hyper Red,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW5LGN03335,USED,"16,332",352,,104950.0,True,"[{'dateUpdated': 'Price Today', 'price': '$104,950'}]"
175_705691486,2007,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Red,8-Cylinder,4.3,Manual,6-Speed Manual,SCFBB03B47GC03687,USED,"45,069",199,,37900.0,True,"[{'dateUpdated': '12.06.2024', 'price': '$38,880'}, {'dateUpdated': 'Price Today', 'price': '$37,900'}]"
175_709810071,2022,Aston Martin,V8 Vantage,Coupe,Coupe,Gray,Satin Aston Martin Racing,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAWXNGN50217,USED,"9,736",302,,158500.0,True,"[{'dateUpdated': '11.19.2024', 'price': '$159,500'}, {'dateUpdated': 'Price Today', 'price': '$158,500'}]"
175_712392531,2011,Aston Martin,V8 Vantage,S,Convertible,Aurora Blue,Cobalt Blue,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBEL3BGD15372,USED,"25,500",272,,78777.0,True,"[{'dateUpdated': '12.16.2024', 'price': '$79,477'}, {'dateUpdated': '12.24.2024', 'price': '$78,999'}, {'dateUpdated': '01.01.2025', 'price': '$78,997'}, {'dateUpdated': 'Price Today', 'price': '$78,777'}]"
175_724723682,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Phantom Grey,Apex Grey,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW2SGN08998,NEW,21,137,,,False,
175_725597272,2021,Aston Martin,V8 Vantage,Roadster,Convertible,All Chancellor,Q Pentland Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW9MGP05580,USED,"1,482",128,,149995.0,True,"[{'dateUpdated': 'Price Today', 'price': '$149,995'}]"
175_727304740,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Podium Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW3SGN09111,NEW,31,109,,283855.0,False,
175_727304750,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Q Supernova Red,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW3SGN09173,NEW,47,109,,266155.0,False,
175_728337296,2014,Aston Martin,V8 Vantage,Roadster,Convertible,Black,Silver,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBBK0EGD18777,USED,"28,031",99,,46881.0,True,"[{'dateUpdated': '11.13.2024', 'price': '$48,881'}, {'dateUpdated': '12.24.2024', 'price': '$47,881'}, {'dateUpdated': 'Price Today', 'price': '$46,881'}]"
175_729525948,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Pure Black,Jet Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW5KGN01728,USED,"8,572",86,,99770.0,True,
175_733242234,2011,Aston Martin,V8 Vantage,N420,Convertible,Obsidian Black,Titanium Silver,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFEFBBK1BGD14768,USED,"15,989",47,,58950.0,True,
175_733363864,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Phantom Grey,Podium Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW5SGN09868,NEW,0,46,,,False,
175_733944494,2025,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Malachite Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW3SGN09822,NEW,21,39,,229900.0,False,
175_734447053,2007,Aston Martin,V8 Vantage,Coupe,Coupe,Saddle Tan,Blue,8-Cylinder,4.3,Manual,6-Speed Manual,SCFBB03B57GC03813,USED,"28,378",33,,55000.0,True,
175_734666812,2021,Aston Martin,V8 Vantage,Roadster,Convertible,Obsidian Black,Onyx Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW7MGP05710,USED,"8,039",32,,129950.0,True,
175_734677751,2025,Aston Martin,V8 Vantage,Coupe,Coupe,,Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGFW8SGN09394,USED,843,31,,239995.0,True,
175_735038906,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Blk,Lunar White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW0LGN04134,USED,"11,439",28,,98999.0,True,
175_735225071,2020,Aston Martin,V8 Vantage,Coupe,Coupe,All Pure Black,Viridian Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW4LGN03911,USED,"7,749",26,,129900.0,True,
175_735225413,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Krestel Tan,Arden Green,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW1KGN01354,USED,"15,010",26,,89950.0,True,
